Borough,Neighborhood,ID,Name
Bronx,Riverdale,503cfaffe4b066d39de5005a,Aoyu Japanese Restaurant
Bronx,Riverdale,4b0b311af964a520642e23e3,Palace of Japan
Bronx,Kingsbridge,503cfaffe4b066d39de5005a,Aoyu Japanese Restaurant
Bronx,Kingsbridge,4b0b311af964a520642e23e3,Palace of Japan
Bronx,City Island,4dbdf3d790a02849cbd675be,Ohana Japanese Habachi Seafood & Steakhouse
Bronx,Spuyten Duyvil,4b0b311af964a520642e23e3,Palace of Japan
Bronx,Spuyten Duyvil,503cfaffe4b066d39de5005a,Aoyu Japanese Restaurant
Bronx,Castle Hill,54e0efc3498e7eda5dff1847,Sarku
Brooklyn,Bay Ridge,4b33fd94f964a520842325e3,Arirang Hibachi Steakhouse
Brooklyn,Bensonhurst,51f42bb3498e2681264e00a1,Kasumi Sushi & BBQ Restaurant
Brooklyn,Bensonhurst,513e7ec8e4b07f4fa1b53b3d,Fuki Sushi Japanese Restaurant
Brooklyn,Bensonhurst,4b787863f964a52080d02ee3,Shiki Japanese Hibachi
Brooklyn,Bensonhurst,4c326b9fa0ced13ac126156e,Ichi Sushi
Brooklyn,Gravesend,4d6adae62ea9b1f7cb22ca28,Fuji Hana
Brooklyn,Sheepshead Bay,5236313711d25d0f9d3f3b67,Momo Hibachi Steak House & Bar
Brooklyn,Sheepshead Bay,4d2262470901721ebc95a2a5,Tenda Asian Fusion
Brooklyn,Manhattan Terrace,4baab031f964a520fc7f3ae3,Chikurin Japanese Restaurant
Brooklyn,Manhattan Terrace,4bf890acabdaef3b69b7a184,Masake
Brooklyn,Crown Heights,5091d1ffe4b0f08bb9df6701,Masago Bistro
Brooklyn,Crown Heights,4d1004a56331a0930a505494,Sakura Tokyo
Brooklyn,Crown Heights,4e8e51a86c255231f540bad1,Sushi Spot
Brooklyn,Kensington,4d5c12a01e43236a87eb1583,Sake Sushi
Brooklyn,Prospect Heights,5cb5e5f9a35f4600255406c6,Maison Yaki
Brooklyn,Prospect Heights,41478600f964a520c41c1fe3,Geido
Brooklyn,Williamsburg,51f9b7b3498eefe896caeb23,Shalom Japan
Brooklyn,Williamsburg,4c7f0887fb74236a7727f9b9,Samurai Mama
Brooklyn,Bushwick,59598280a795bd4a3cd8ccc5,Ajihei Bushwick
Brooklyn,Bedford Stuyvesant,5b3bcb69bfc6d0002ca9bf17,Warude
Brooklyn,Brooklyn Heights,479ccb47f964a5206b4d1fe3,Iron Chef House
Brooklyn,Brooklyn Heights,48a41073f964a52091511fe3,Hibino
Brooklyn,Cobble Hill,48a41073f964a52091511fe3,Hibino
Brooklyn,Cobble Hill,4bafd791f964a5203c253ce3,Mitoushi Sushi
Brooklyn,Fort Greene,5739c66c498e7ef6085cec4f,Karasu
Brooklyn,Park Slope,5276d39a498eb1a5d90096e4,Katsuei
Brooklyn,Park Slope,3fd66200f964a5208af11ee3,Yamato
Brooklyn,Park Slope,41478600f964a520c41c1fe3,Geido
Brooklyn,Manhattan Beach,5236313711d25d0f9d3f3b67,Momo Hibachi Steak House & Bar
Brooklyn,Bath Beach,51f42bb3498e2681264e00a1,Kasumi Sushi & BBQ Restaurant
Brooklyn,Bath Beach,4bad45c9f964a52089403be3,Chikurin
Brooklyn,Bath Beach,513e7ec8e4b07f4fa1b53b3d,Fuki Sushi Japanese Restaurant
Brooklyn,Bath Beach,4c326b9fa0ced13ac126156e,Ichi Sushi
Brooklyn,Bath Beach,4b787863f964a52080d02ee3,Shiki Japanese Hibachi
Brooklyn,Dyker Heights,4b33fd94f964a520842325e3,Arirang Hibachi Steakhouse
Brooklyn,Dyker Heights,538e057d498e5865fbe8e9aa,Hibachi Master
Brooklyn,Marine Park,4c140e42a1010f4742d24b18,Sakura
Brooklyn,Clinton Hill,591f7c5f35f9836382455eca,U-Gu
Brooklyn,Clinton Hill,5739c66c498e7ef6085cec4f,Karasu
Brooklyn,Downtown,5946d138e2da1964625ca9b2,Daigo Hand Roll Bar
Brooklyn,Downtown,58a202a25490d30f87553a08,Rice & Miso
Brooklyn,Boerum Hill,58a202a25490d30f87553a08,Rice & Miso
Brooklyn,Boerum Hill,5946d138e2da1964625ca9b2,Daigo Hand Roll Bar
Brooklyn,Midwood,4baab031f964a520fc7f3ae3,Chikurin Japanese Restaurant
Brooklyn,Midwood,4bf890acabdaef3b69b7a184,Masake
Brooklyn,Georgetown,4d7fc91f95c1a143260eecf2,Yoshi
Brooklyn,Georgetown,4bfc3f24b5cd2d7fc34931fb,Sosaku
Brooklyn,East Williamsburg,52517e05498ec2e28c792fa2,Brooklyn Ball Factory
Brooklyn,East Williamsburg,4c9e9c8f0e9bb1f77e39e95f,Momo Sushi Shack
Brooklyn,North Side,4c7f0887fb74236a7727f9b9,Samurai Mama
Brooklyn,North Side,49cea29ef964a520685a1fe3,Zenkichi
Brooklyn,South Side,4c7f0887fb74236a7727f9b9,Samurai Mama
Brooklyn,Fort Hamilton,4c2678eef1272d7f43a986c5,Fushimi
Brooklyn,Fort Hamilton,51675793e4b0cb9353996685,Suki Sushi Bay Ridge
Brooklyn,Fort Hamilton,4b33fd94f964a520842325e3,Arirang Hibachi Steakhouse
Brooklyn,Fort Hamilton,538e057d498e5865fbe8e9aa,Hibachi Master
Manhattan,Chinatown,4cf9655334c1a09374cb390e,Cocoron
Manhattan,Hamilton Heights,531a0207498e06b4656eb8c5,Geisha Japanese Cuisine
Manhattan,Manhattanville,531a0207498e06b4656eb8c5,Geisha Japanese Cuisine
Manhattan,Upper East Side,542efa85498ea11026c9746c,Kappo Masa
Manhattan,Yorkville,4bd0fe22a8b3a593a123655f,Donguri Restaurant
Manhattan,Yorkville,4b3fdfc8f964a5200ab125e3,Ichiro
Manhattan,Yorkville,4fb93e46e4b0d0dd7eb666c6,Amura Japanese Cuisine
Manhattan,Lenox Hill,5aa1d85d5f68b931b6f5acda,Kome Waza UES
Manhattan,Roosevelt Island,5aa1d85d5f68b931b6f5acda,Kome Waza UES
Manhattan,Upper West Side,5759f71d498e0776955f4096,Mido
Manhattan,Clinton,4ef0d81fbe7ba3ed7c2296d2,Gyu-Kaku Japanese BBQ
Manhattan,Midtown,51fd77be498e883bf20fcca8,OOTOYA 大戸屋 (OOTOYA)
Manhattan,Midtown,4ad67f80f964a5207e0721e3,Hatsuhana
Manhattan,Murray Hill,4a99b4f4f964a520f62f20e3,Kajitsu
Manhattan,Murray Hill,540dc46d498e86f0e5059dd2,Zuma New York
Manhattan,Murray Hill,49db8b67f964a520d85e1fe3,Aburiya Kinnosuke
Manhattan,Murray Hill,51e8ce40498ea1fb0180efb2,Izakaya MEW
Manhattan,Murray Hill,5ad925da2f97ec3e4b17eba2,Nonono
Manhattan,Chelsea,454f7cc4f964a520dc3c1fe3,Morimoto
Manhattan,East Village,510c85e7e4b0056826b88297,Kura
Manhattan,East Village,5b3805910dd31f002409405a,Suki Curry
Manhattan,East Village,57a3bda338fa6612ad9c17f2,Secchu Yokota
Manhattan,Lower East Side,4f4442c9e4b0f94a357a383b,Yopparai
Manhattan,Lower East Side,57a3bda338fa6612ad9c17f2,Secchu Yokota
Manhattan,Little Italy,4cf9655334c1a09374cb390e,Cocoron
