Borough,Neighborhood,ID,Name,Likes,Rating,Tips
Bronx,Riverdale,503cfaffe4b066d39de5005a,Aoyu Japanese Restaurant,31.0,9.0,19.0
Bronx,Riverdale,4b0b311af964a520642e23e3,Palace of Japan,38.0,8.7,25.0
Bronx,Kingsbridge,503cfaffe4b066d39de5005a,Aoyu Japanese Restaurant,31.0,9.0,19.0
Bronx,Kingsbridge,4b0b311af964a520642e23e3,Palace of Japan,38.0,8.7,25.0
Bronx,City Island,4dbdf3d790a02849cbd675be,Ohana Japanese Habachi Seafood & Steakhouse,33.0,7.5,18.0
Bronx,Spuyten Duyvil,4b0b311af964a520642e23e3,Palace of Japan,38.0,8.7,25.0
Bronx,Spuyten Duyvil,503cfaffe4b066d39de5005a,Aoyu Japanese Restaurant,31.0,9.0,19.0
Bronx,Castle Hill,54e0efc3498e7eda5dff1847,Sarku,16.0,7.6,6.0
Brooklyn,Bay Ridge,4b33fd94f964a520842325e3,Arirang Hibachi Steakhouse,77.0,7.7,21.0
Brooklyn,Bensonhurst,51f42bb3498e2681264e00a1,Kasumi Sushi & BBQ Restaurant,5.0,7.5,3.0
Brooklyn,Bensonhurst,513e7ec8e4b07f4fa1b53b3d,Fuki Sushi Japanese Restaurant,11.0,7.4,1.0
Brooklyn,Bensonhurst,4b787863f964a52080d02ee3,Shiki Japanese Hibachi,6.0,6.9,2.0
Brooklyn,Bensonhurst,4c326b9fa0ced13ac126156e,Ichi Sushi,15.0,6.8,8.0
Brooklyn,Gravesend,4d6adae62ea9b1f7cb22ca28,Fuji Hana,9.0,7.4,4.0
Brooklyn,Sheepshead Bay,5236313711d25d0f9d3f3b67,Momo Hibachi Steak House & Bar,21.0,7.9,5.0
Brooklyn,Sheepshead Bay,4d2262470901721ebc95a2a5,Tenda Asian Fusion,25.0,7.2,6.0
Brooklyn,Manhattan Terrace,4baab031f964a520fc7f3ae3,Chikurin Japanese Restaurant,32.0,7.0,13.0
Brooklyn,Manhattan Terrace,4bf890acabdaef3b69b7a184,Masake,6.0,6.4,6.0
Brooklyn,Crown Heights,5091d1ffe4b0f08bb9df6701,Masago Bistro,12.0,7.0,7.0
Brooklyn,Crown Heights,4d1004a56331a0930a505494,Sakura Tokyo,22.0,7.4,18.0
Brooklyn,Crown Heights,4e8e51a86c255231f540bad1,Sushi Spot,11.0,7.0,7.0
Brooklyn,Kensington,4d5c12a01e43236a87eb1583,Sake Sushi,31.0,7.8,49.0
Brooklyn,Prospect Heights,5cb5e5f9a35f4600255406c6,Maison Yaki,48.0,8.0,19.0
Brooklyn,Prospect Heights,41478600f964a520c41c1fe3,Geido,244.0,9.0,82.0
Brooklyn,Williamsburg,51f9b7b3498eefe896caeb23,Shalom Japan,294.0,8.1,93.0
Brooklyn,Williamsburg,4c7f0887fb74236a7727f9b9,Samurai Mama,888.0,9.1,242.0
